ruleName,coachingGoal,coachingStrategy,
arrival_order,결과를 비교하고 순서를 판단하도록 돕는다.,마지막 지점에 먼저 도달한 대상을 찾게 한다.,
change_pattern,변화의 전체 패턴을 파악하도록 돕는다.,증가·감소·유지 구간을 순서대로 정리하게 한다.,
change_rate_compare,변화의 빠르기를 비교하도록 돕는다.,기울기가 더 큰 구간과 작은 구간을 비교하게 한다.,
compare_summary,두 대상의 변화를 종합적으로 비교하도록 돕는다.,공통점과 차이점을 찾아 설명하게 한다.,
constant_section,변화가 없는 구간의 의미를 이해하도록 돕는다.,수평인 부분을 찾게 하고 그 의미를 설명하게 한다.,
feature_summary,그래프의 특징을 요약하도록 돕는다.,가장 눈에 띄는 특징을 근거와 함께 설명하게 한다.,
final_value,그래프의 마지막 값을 읽고 전체 결과를 파악하도록 돕는다.,그래프의 가장 마지막 점을 찾게 하고 그 점의 y값을 읽도록 유도한다.,
increase_decrease,증가와 감소 구간을 구분하도록 돕는다.,그래프가 올라가는 부분과 내려가는 부분을 나누어 보게 한다.,
insight_summary,그래프로부터 얻을 수 있는 의미를 도출하도록 돕는다.,단순 수치가 아니라 그래프가 말해주는 사실을 생각하게 한다.,
intersection_point,두 그래프가 만나는 의미를 이해하도록 돕는다.,두 그래프의 값이 같아지는 지점을 찾게 한다.,
max_min_value,최대값과 최소값을 찾도록 돕는다.,가장 높은 점과 가장 낮은 점을 찾게 한다.,
max_value,가장 큰 값을 찾고 의미를 이해하도록 돕는다.,그래프에서 가장 높은 점을 찾게 하고 그 점의 좌표를 읽게 한다.,
max_value_section,가장 큰 값이 나타나는 구간이나 시점을 찾도록 돕는다.,"그래프에서 가장 높은 부분을 찾게 하고 언제, 어떤 구간에서 가장 큰 값이 나타나는지 설명하게 한다.",
point_value,특정 x값에 대응하는 y값을 읽도록 돕는다.,정답을 바로 알려주지 말고 x값 찾기 → y값 확인 → 단위 연결 순으로 질문한다.,
relation_check,그래프가 나타내는 두 양의 의미를 이해하도록 돕는다.,x축과 y축 이름을 확인하도록 유도한다.,
repeat_check,그래프에서 반복되는 변화가 있는지 확인하도록 돕는다.,그래프의 앞부분과 뒷부분의 모양을 비교하게 하고 같은 변화가 다시 나타나는지 관찰하게 한다.,
repeat_cycle,반복 주기를 찾도록 돕는다.,같은 상태가 다시 나타나는 간격을 비교하게 한다.,
repeat_pattern,반복되는 변화를 인식하도록 돕는다.,그래프가 올라가는 부분과 내려가는 부분을 나누어 보게 한다.,
repeat_reason,반복 현상의 원인을 생각하도록 돕는다.,실제 상황과 연결하여 왜 반복된다고 생각하는지 설명하게 한다.,
stop_section,정지 상태 또는 값이 0인 구간을 찾도록 돕는다.,y값이 0인 부분을 찾게 하고 그 의미를 설명하게 한다.,
summary,그래프의 전체 변화를 문장으로 설명하도록 돕는다.,그래프의 시작 → 변화 → 끝 순서로 설명하도록 질문한다.,
trend_direction,전체적인 변화 경향을 파악하도록 돕는다.,처음 값과 마지막 값을 비교하게 한다.,
trend_fact,그래프를 통해 알 수 있는 사실을 찾도록 돕는다.,그래프를 보고 관찰한 내용을 근거와 함께 말하게 한다.,
value_compare,두 대상의 값을 비교하도록 돕는다.,같은 x값에서 두 그래프의 y값을 비교하게 한다.,
